lemma;tags;ordklasse;transfertype;noter
kvint;MUS;S;L;NA
kvint;KVA;S;L;NA
kvintin;KVA;S;L;NA
kvittebrev;BES;S;L;NA
kvæde;FLO;S;L;NA
kyssel;HUS;S;L;NA
kæbe;KRO;S;L;USIKKER
kæde;"HÅN;SAM";S;L;NA
kælderhals;FLO;S;L;NA
kæmler;SAM;S;L;NA
kæmner;SAM;S;L;NA
kæmpe;"MIL;KRO";S;L;NA
kætter;REL;S;L;NA
købmand;SAM;S;L;USIKKER
købmandskab;SAM;S;L;NA
købslag;BES;S;L;NA
køgemester;SAM;S;L;NA
køje;"FAU;HUS";S;L;NA
køkerske;HUS;S;L;NA
køkken;HUS;S;L;NA
køkkenmester;HUS;S;L;NA
kønrøg;HÅN;S;L;NA
kørsener;HÅN;S;L;NA
kørvel;FLO;S;L;NA
køter;FAU;S;L;NA
kådner;SAM;S;L;NA
kårde;MIL;S;L;NA
kås;SØF;S;L;NA
lade;HÅN;S;L;NA
lage;GAS;S;L;NA
lagen;HUS;S;L;NA
lak;FØL;S;L;NA
lakhed;HAN;S;L;NA
lampe;HUS;S;L;NA
landløbere;SAM;S;L;NA
landsåt;SAM;S;L;NA
langvogn;HÅN;S;L;NA
lapperi;HAN;S;L;NA
las;BEK;S;L;NA
last;SØF;S;L;NA
lasttold;SØF;S;L;NA
latte;"HÅN;SØF";S;L;NA
lave;KOG;S;L;NA
le;HÅN;S;L;USIKKER
leding;VER;S;L;NA
legenhed;KOG;S;L;NA
lejd;HÅN;S;L;NA
lejde;"SAM;JUR";S;L;NA
lejder;"SØF;HÅN";S;L;NA
leje;VER;S;L;NA
lejle;GAS;S;L;NA
lejlighed;SAM;S;L;NA
lektie;"SAM;REL";S;L;NA
lempe;"HAN;JUR";S;L;NA
len;SAM;S;L;NA
lening;BES;S;L;NA
lidkøb;HAN;S;L;NA
lire;MUS;S;L;NA
lirekasse;MUS;S;L;NA
lispund;KVA;S;L;NA
livgeding;BES;S;L;NA
lo;HÅN;S;L;NA
lod;"MIL;HÅN;SØF";S;L;NA
lodsmand;SØF;S;L;NA
los;FAU;S;L;NA
lose;HAN;S;L;NA
love;FØL;S;L;NA
loven;HAN;S;L;NA
luft;VER;S;L;NA
luge;SØF;S;L;NA
lugt;SAN;S;L;NA
lune;FØL;S;L;NA
lunte;HÅN;S;L;NA
lut;MUS;S;L;NA
luv;SØF;S;L;USIKKER
lygte;HUS;S;L;NA
lykke;"REL;FØL";S;L;NA
lyksalighed;FØL;S;L;NA
lyske;KRO;S;L;NA
lædike;HUS;S;L;NA
lægte;HÅN;S;L;NA
længe;SØF;S;L;NA
lære;"SAM;HÅN";S;L;NA
løffel;"HÅN;FAU";S;L;NA
løfte;JUR;S;L;NA
løjert;SAM;S;L;NA
løsgængere;SAM;S;L;USIKKER
mag;FØL;S;L;NA
magt;SAM;S;L;NA
malle;FAU;S;L;USIKKER
malle;HAN;S;L;NA
mandel;FLO;S;L;NA
mandskab;SAM;S;L;NA
mandslag;JUR;S;L;NA
mangkorn;FLO;S;L;NA
manglebræt;HUS;S;L;USIKKER
mansat;FLO;S;L;NA
manse;FAU;S;L;NA
marekat;FAU;S;L;NA
mareminde;REL;S;L;NA
mark;BES;S;L;NA
markgreve;SAM;S;L;NA
marsk;VER;S;L;NA
marskal;MIL;S;L;NA
marstald;SAM;S;L;NA
marter;HAN;S;L;NA
mase;"KRO;FLO";S;L;NA
mask;FLO;S;L;NA
maskepi;SAM;S;L;NA
mast;SØF;S;L;NA
mat;SØF;S;L;NA
materie;KRO;S;L;NA
medgift;BES;S;L;NA
mejer;SAM;S;L;NA
mejerske;SAM;S;L;NA
menneske;SAM;S;L;USIKKER
messe;REL;S;L;NA
messing;HÅN;S;L;NA
mester;SAM;S;L;NA
mestermand;SAM;S;L;NA
mesterskab;SAM;S;L;NA
middel;"BES;SAM;RUM";S;L;NA
mile;HÅN;S;L;NA
mink;FAU;S;L;NA
misdæder;JUR;S;L;NA
mishag;FØL;S;L;NA
mitte;FAU;S;L;USIKKER
mode;SAM;S;L;NA
modefarve;HÅN;S;L;USIKKER
morads;VER;S;L;NA
morbær;FLO;S;L;NA
morderi;HAN;S;L;NA
morgen;KVA;S;L;NA
morian;SAM;S;L;NA
morsel;GAS;S;L;NA
morter;HUS;S;L;NA
mortér;MIL;S;L;NA
mos;GAS;S;L;NA
most;GAS;S;L;NA
mudder;VER;S;L;NA
muk;KRO;S;L;NA
