lemma;tags;ordklasse;transfertype;falsepositive;noter
husblas;GAS;S;L;;
husfrue;HUS;S;K;;
husgesinde;HUS;S;L;;USIKKER
husk;HAN;S;L;1;
hvalrav;FAU;S;L;;
hvalspæk;FAU;S;L;;
hverdag;TID;S;K;;USIKKER
hvergarn;HÅN;S;L;;
hverv;SAM;S;K;;
hvidesøndag;REL;S;L;1;USIKKER
hvilling;FAU;S;L;1;
hylle;BEK;S;L;1;
hyllike;BEK;S;L;;
hylster;HÅN;S;L;;
hyre;"BES;SØF";S;L;;
hyrling;SAM;S;L;;
hysken;HUS;S;L;;
hyssing;"HÅN;SØF";S;L;;
hæg;HAN;S;L;1;
hægte;HÅN;S;L;;
hægte;JUR;S;L;;
hælding;SØF;S;L;;
hælvt;KVA;S;L;;
hængsel;HÅN;S;L;1;
høfde;VER;S;L;;
højtid;REL;S;L;1;
høker;HÅN;S;L;;
hønnike;FAU;S;L;1;
høns;FAU;S;L;1;
hørsvinger;HÅN;S;L;1;
høved;FAU;S;L;;
høvedsmand;"SAM;MIL";S;K;;
høvl;HÅN;S;L;;
håb;FØL;S;L;1;
hån;FØL;S;L;;
håndklove;JUR;S;K;1;
hånhed;FØL;S;L;;
igle;FAU;S;L;;
igt;KRO;S;L;;
il;BEV;S;L;;
ilder;FAU;S;K;;
indbildning;KOG;S;L;1;
inddrift;FAU;S;L;1;
inderste;SAM;S;L;;
indhold;RUM;S;K;;
indholt;SØF;S;L;;
indkomst;BES;S;L;;
indlager;JUR;S;L;;
indpas;BEV;S;L;;
indsigelse;JUR;S;L;1;
indtog;HAN;S;L;1;
indtrang;HAN;S;K;;
indvåner;SAM;S;L;;
ingefær;FLO;S;L;;
irisk;FAU;S;L;;
isben;BEK;S;L;;
isenkram;HÅN;S;L;;
isop;FLO;S;L;1;
ister;GAS;S;L;;USIKKER
iver;FØL;S;L;;
jabroder;SAM;S;K;;USIKKER
jagt;MIL;S;L;;
jaherre;SAM;S;L;;
jakke;BEK;S;L;;
jammer;FØL;S;L;;
jammerdal;FØL;S;L;;
jennik;REL;S;L;;
jolle;SØF;S;L;;
jomfru;SAM;S;L;;
jordrøg;FLO;S;L;1;
junge;SAM;S;L;;
jungelin;SAM;S;L;;
junker;SAM;S;L;;
juvelér;HÅN;S;L;1;USIKKER
jæger;MIL;S;L;;
jægt;KRO;S;L;1;
jærnurt;FLO;S;K;;USIKKER
jøde;SAM;S;L;;
kabe;SØF;S;L;;
kabel;SØF;S;L;;
kabeltegn;SØF;S;L;1;
kabys;SØF;S;L;;
kag;JUR;S;L;;
kahyt;SØF;S;L;;
kakkel;HUS;S;L;;
kalent;REL;S;L;;
kalk;HÅN;S;L;;
kalkun;FAU;S;L;;
kallun;GAS;S;L;;
kalvedans;GAS;S;L;1;
kammerdug;BEK;S;L;1;USIKKER
kamp;HAN;S;L;;
kanel;GAS;S;L;;
kanin;FAU;S;L;;
kans;"KOG;HAN";S;L;;
kant;RUM;S;L;;
kanut;SAM;S;L;;
kapel;REL;S;L;;
kapel;HÅN;S;L;;
kappe;BEK;S;L;;
kapperøllike;BEK;S;L;;
kaprun;BEK;S;L;;
kapun;FAU;S;L;;
karavel;SØF;S;L;1;USIKKER
karde;HÅN;S;L;;
kardus;"MIL;KVA";S;L;;
karnap;HUS;S;L;;
karpe;FAU;S;L;;
karpe;HÅN;S;L;;
karre;BEV;S;L;;
karse;FLO;S;L;;
karte;HÅN;S;L;;
kartove;MIL;S;L;;
karusse;FAU;S;L;;
karve;GAS;S;L;;
kastel;MIL;S;L;1;
kavent;GAS;S;L;;
kavl;"HÅN;VER";S;L;1;
kedelhat;BEK;S;L;1;USIKKER
kegle;"HÅN;RUM";S;L;;
kejle;VER;S;L;1;
kejser;SAM;S;L;;
kel;HÅN;S;L;;
kende;KOG;S;K;;
kerte;HUS;S;L;;
kikkert;HUS;S;L;;
kile;HÅN;S;L;;
kim;FLO;S;L;;
kimme;HÅN;S;L;;
kimmer;HÅN;S;L;;
kin;FLO;S;L;;
kindbakke;"FAU;KRO;SØF";S;L;;
kinke;HÅN;S;L;1;
kip;HUS;S;L;;
kipe;HÅN;S;L;;
kippe;HUS;S;K;;USIKKER
kippe;HUS;S;L;;
kipper;BEK;S;L;;
kirsebær;FLO;S;L;;
kirsej;BEK;S;L;;
kiste;JUR;S;L;1;
kiv;HAN;S;L;;
klage;"SPR;JUR";S;L;;
klamme;"HÅN;SPR";S;L;;
klank;HAN;S;L;;
klap;HÅN;S;L;;
klapholt;HÅN;S;L;;
klappebænk;HUS;S;L;1;USIKKER
klaret;GAS;S;L;1;USIKKER
klat;FLO;S;L;;
klejne;GAS;S;L;;
klejnsmed;HÅN;S;L;;
klenodie;HUS;S;L;;
kleppert;"FAU;SAM";S;L;;
kleresi;REL;S;L;1;
klerk;REL;S;L;;
klid;FLO;S;L;;USIKKER
klik;"RUM;SPR";S;L;;
klinke;"HUS;HÅN;MIL";S;L;;
klint;VER;S;L;;
klippe;VER;S;L;;
klipping;"FAU;BES";S;L;1;
klister;HÅN;S;L;;
klod;"RUM;SØF";S;L;;
klode;VER;S;L;;
klods;BEK;S;L;;
kloghed;KOG;S;L;1;USIKKER
klokkeknevl;HÅN;S;L;;
klokker;REL;S;L;1;
klokkespise;HÅN;S;L;;
klokkestund;TID;S;L;1;
kloster;REL;S;L;;
klov;FAU;S;L;;USIKKER
klov;HÅN;S;L;1;
klovert;SAM;S;L;;
klump;"SAM;RUM";S;L;;
klus;REL;S;L;;
klyne;"FLO;RUM";S;L;1;
klys;SØF;S;L;1;
klyver;SØF;S;L;;
klæbber;HÅN;S;L;;
kløft;"VER;HÅN";S;L;;
kløver;FLO;S;L;;
knabe;SAM;S;L;;
kneb;HAN;S;L;;
